"variable","is_critical","n_compared","n_mismatch","match_rate"
"USUBJID",TRUE,14,0,1
"STUDYID",FALSE,14,0,1
"SUBJID",FALSE,14,0,1
"SITEID",FALSE,14,0,1
"TRT01P",FALSE,14,0,1
"TRT01PN",FALSE,14,0,1
"TRT01A",FALSE,14,0,1
"TRT01AN",FALSE,14,0,1
"TRTSDT",FALSE,14,0,1
"TRTEDT",FALSE,14,0,1
"TRTDURD",FALSE,14,0,1
"AGE",FALSE,14,0,1
"AGEGR1",TRUE,14,0,1
"AGEGR1N",TRUE,14,0,1
"AGEU",FALSE,14,0,1
"RACE",FALSE,14,0,1
"RACEN",FALSE,14,0,1
"SEX",FALSE,14,0,1
"SAFFL",TRUE,14,0,1
"ITTFL",TRUE,14,0,1
"EFFFL",TRUE,14,0,1
"COMP8FL",TRUE,14,0,1
"COMP16FL",TRUE,14,0,1
"COMP24FL",TRUE,14,0,1
"DTHFL",FALSE,14,10,0.285714285714286
"BMIBL",FALSE,14,0,1
"BMIBLGR1",FALSE,14,0,1
"HEIGHTBL",FALSE,14,0,1
"WEIGHTBL",FALSE,14,0,1
"EDUCLVL",FALSE,14,0,1
"DURDIS",FALSE,14,12,0.142857142857143
"DURDSGR1",FALSE,14,12,0.142857142857143
"RFSTDTC",FALSE,14,0,1
"RFENDTC",FALSE,14,0,1
"DCDECOD",TRUE,14,0,1
"EOSSTT",TRUE,14,0,1
"MMSETOT",FALSE,14,0,1
